index,consensus,importance,question
1,0.5130434782608696,0.5130434782608696,Afgiften på cigaretter skal sættes op
2,-0.3018633540372671,0.4919254658385093,Privathospitaler skal i højere grad udføre behandlinger for det offentlige sundhedsvæsen
3,0.018633540372670808,0.46335403726708074,"Man skal automatisk blive organdonor, når man fylder 18 år, medmindre man aktivt framelder sig donorregistret "
4,-0.47329192546583854,0.6211180124223602,Der skal indføres en særlig klimaafgift på oksekød
5,0.684472049689441,0.6795031055900621,Danmark skal sætte mere ambitiøse mål for at blive uafhængig af fossile brændstoffer
6,0.41366459627329194,0.5838509316770186,Landbruget skal pålægges strengere krav ved brug af sprøjtemidler 
7,-0.5031055900621118,0.48074534161490684,Der skal gives flere muligheder for at opføre nyt byggeri ved kysterne
8,0.5503105590062112,0.5565217391304348,Staten skal bruge flere penge på at forbedre den kollektive trafik
9,-0.2993788819875776,0.7316770186335404,Topskatten skal fjernes
10,-0.2546583850931677,0.5478260869565217,Kongehuset skal tildeles færre penge
11,0.09565217391304348,0.5664596273291925,Der skal bruges flere penge på public service
12,0.008695652173913044,0.5490683229813664,Det skal være lovligt at købe og ryge hash
13,-0.2571428571428571,0.5925465838509317,Kriminalitet begået i udsatte boligområder skal straffes særligt hårdt
14,-0.08322981366459627,0.38633540372670805,Politiet skal have mere vidtgående muligheder for at opsætte overvågning i det offentlige rum
15,0.08819875776397515,0.6944099378881987,Det skal være tilladt at bære burka og niqab i det offentlige rum
16,0.36645962732919257,0.6422360248447205,Danmark skal tage imod kvoteflygtninge igen
17,0.08819875776397515,0.7652173913043478,Integrationsydelsen skal hæves
18,0.3565217391304348,0.6782608695652174,"Det er et problem, hvis den økonomiske ulighed i samfundet stiger"
19,0.11304347826086956,0.724223602484472,Kontanthjælpsloftet skal afskaffes
20,-0.40869565217391307,0.5627329192546584,Det skal være obligatorisk for virksomheder at have et bestemt antal kvinder i bestyrelsen
21,0.12049689440993788,0.5279503105590062,Det skal være lettere at hente kvalificeret arbejdskraft uden for EU 
22,0.4062111801242236,0.568944099378882,Der skal være færre test i folkeskoleklasserne 
23,0.6869565217391305,0.684472049689441,Uddannelsesloftet skal afskaffes
24,-0.2993788819875776,0.5304347826086957,Det offentlige tilskud til privatskoler skal sænkes
25,0.4260869565217391,0.6509316770186335,Det er en fordel for Danmark at være med i EU
26,0.22236024844720498,0.6385093167701863,Danmark skal bruge flere penge på udviklingsbistand
27,-0.30434782608695654,0.5490683229813664,Danmark bruger for mange penge på forsvaret
28,-0.02360248447204969,0.6285714285714286,Kirke og stat skal adskilles
29,-0.08322981366459627,0.7552795031055901,Regionerne skal nedlægges
30,0.17763975155279504,0.3801242236024845,Der skal udflyttes flere statslige arbejdspladser fra hovedstadsområdet
